cell_id,site_id,sector,band,latitude,longitude,azimuth,mechanical_tilt,electrical_tilt,tx_power_dbm,antenna_height_m,frequency_mhz
CELL_016_1,SITE_016,1,3,35.647663,139.691186,123,6.2,3.7,45.9,36.3,1800
CELL_016_2,SITE_016,2,3,35.647663,139.691186,235,6.0,3.3,45.6,22.6,1800
CELL_017_0,SITE_017,0,41,35.671626,139.691154,-4,6.5,0.9,41.7,25.3,2500
CELL_017_1,SITE_017,1,41,35.671626,139.691154,120,3.2,3.8,41.6,32.2,2500
CELL_017_2,SITE_017,2,41,35.671626,139.691154,235,2.6,2.5,41.7,20.1,2500
CELL_018_0,SITE_018,0,1,35.66777,139.707681,-1,3.0,2.7,44.2,34.0,2100
CELL_018_1,SITE_018,1,1,35.66777,139.707681,116,2.5,5.3,45.4,33.6,2100
CELL_018_2,SITE_018,2,1,35.66777,139.707681,240,5.5,0.9,40.8,27.7,2100
CELL_019_0,SITE_019,0,3,35.672378,139.714733,-5,7.4,1.3,41.5,22.6,1800
CELL_019_1,SITE_019,1,3,35.672378,139.714733,123,7.3,2.4,43.7,23.9,1800
CELL_019_2,SITE_019,2,3,35.672378,139.714733,238,7.2,5.9,44.9,42.0,1800
CELL_020_0,SITE_020,0,41,35.640875,139.712092,0,6.7,2.5,44.0,38.4,2500
CELL_020_1,SITE_020,1,41,35.640875,139.712092,118,3.6,4.7,40.6,41.8,2500
CELL_020_2,SITE_020,2,41,35.640875,139.712092,242,3.3,4.9,42.8,27.6,2500
CELL_021_0,SITE_021,0,1,35.668643,139.689518,-5,6.0,2.4,41.7,21.7,2100
CELL_021_1,SITE_021,1,1,35.668643,139.689518,119,4.1,3.1,44.1,41.1,2100
CELL_021_2,SITE_021,2,1,35.668643,139.689518,240,7.6,0.7,45.8,24.5,2100
CELL_022_0,SITE_022,0,3,35.674668,139.691198,-4,5.6,2.1,44.7,30.9,1800
CELL_022_1,SITE_022,1,3,35.674668,139.691198,123,2.7,5.4,41.1,21.1,1800
CELL_022_2,SITE_022,2,3,35.674668,139.691198,241,2.0,5.6,43.2,38.0,1800
CELL_023_0,SITE_023,0,41,35.666719,139.709168,0,4.6,5.7,45.5,35.6,2500
CELL_023_1,SITE_023,1,41,35.666719,139.709168,125,7.1,4.3,41.8,27.7,2500
CELL_023_2,SITE_023,2,41,35.666719,139.709168,241,4.0,4.2,43.3,24.8,2500
CELL_024_0,SITE_024,0,1,35.663943,139.69624,-3,5.7,1.8,43.3,20.0,2100
CELL_024_1,SITE_024,1,1,35.663943,139.69624,119,3.3,4.7,43.6,28.1,2100
CELL_024_2,SITE_024,2,1,35.663943,139.69624,242,4.7,1.3,42.8,42.5,2100
