cell_id,timestamp,rsrp_dbm,rsrq_db,sinr_db,prb_utilization_pct,active_ue_count,rrc_connected_ue,ho_attempt,ho_success,ho_failure,ho_ping_pong,late_ho,early_ho,wrong_cell_ho,dl_throughput_mbps,ul_throughput_mbps,cqi_avg,rlf_count,call_drop_rate_pct
CELL_000_0,2026-04-01T05:15:00,-88.5,-7.7,14.4,25.7,15,23,4,4,0,0,0,0,0,114.9,28.1,11.3,3,1.46
CELL_000_0,2026-04-01T05:30:00,-78.2,-12.0,10.9,16.5,11,11,8,8,0,0,0,0,0,77.6,16.2,11.4,3,0
CELL_000_0,2026-04-01T05:45:00,-85.6,-6.0,6.2,15.8,16,17,10,10,0,0,0,0,0,56.6,22.7,13.0,3,1.32
CELL_000_0,2026-04-01T06:00:00,-85.3,-9.4,12.8,42.2,37,65,21,21,0,0,0,0,0,112.8,31.1,11.1,0,0
CELL_000_0,2026-04-01T06:15:00,-95.9,-11.1,11.5,38.6,18,67,13,13,0,0,0,0,0,73.5,16.2,11.1,5,0
CELL_000_0,2026-04-01T06:30:00,-79.2,-13.8,12.8,45.4,15,60,17,17,0,0,0,0,0,92.2,20.1,10.6,4,0
CELL_000_0,2026-04-01T06:45:00,-88.8,-6.4,12.7,48.1,18,32,20,20,0,0,0,0,0,78.7,22.0,10.4,7,0.26
CELL_000_0,2026-04-01T07:00:00,-87.3,-9.0,17.9,58.7,27,72,14,14,0,0,0,0,0,43.9,26.8,11.3,6,0.69
CELL_000_0,2026-04-01T07:15:00,-84.3,-5.0,15.2,70.4,27,40,24,24,0,0,0,0,0,86.2,28.0,10.1,6,1.01
CELL_000_0,2026-04-01T07:30:00,-80.6,-11.1,17.9,36.4,28,71,33,33,0,0,0,0,0,71.3,21.6,13.3,3,0
CELL_000_0,2026-04-01T07:45:00,-74.1,-4.1,10.3,16.9,11,90,20,20,0,0,0,0,0,82.9,15.0,11.6,3,0.78
CELL_000_0,2026-04-01T08:00:00,-97.9,-9.0,10.2,70.2,53,62,24,24,0,0,0,0,0,89.9,20.1,3.9,0,0.15
CELL_000_0,2026-04-01T08:15:00,-79.7,-16.5,7.2,33.0,52,63,33,33,0,0,0,0,0,96.3,16.5,12.6,1,0.07
CELL_000_0,2026-04-01T08:30:00,-90.9,-12.0,18.5,47.8,20,59,14,14,0,0,0,0,0,98.6,11.9,11.2,0,0.53
CELL_000_0,2026-04-01T08:45:00,-87.6,-8.5,10.3,52.6,20,56,23,23,0,0,0,0,0,38.2,12.5,8.4,2,0.71
CELL_000_0,2026-04-01T09:00:00,-68.1,-8.2,15.2,89.0,29,74,26,26,0,0,0,0,0,71.6,23.7,10.1,10,0
CELL_000_0,2026-04-01T09:15:00,-97.3,-13.5,9.9,71.5,35,62,22,22,0,0,0,0,0,33.0,19.7,11.5,0,0
CELL_000_0,2026-04-01T09:30:00,-92.7,-5.8,13.4,100,62,56,28,28,0,0,0,0,0,68.1,16.5,11.4,0,0
CELL_000_0,2026-04-01T09:45:00,-82.1,-14.6,16.1,33.9,60,69,31,31,0,0,0,0,0,78.5,16.0,9.9,3,0.88
CELL_000_0,2026-04-01T10:00:00,-93.8,-10.7,13.7,49.7,28,45,18,18,0,0,0,0,0,64.4,17.8,9.4,0,0.37
CELL_000_0,2026-04-01T10:15:00,-81.2,-16.6,17.9,26.3,20,66,31,31,0,0,0,0,0,43.2,14.4,10.4,2,1.31
CELL_000_0,2026-04-01T10:30:00,-76.7,-11.8,11.8,39.0,13,64,34,34,0,0,0,0,0,75.7,9.2,9.4,0,0
CELL_000_0,2026-04-01T10:45:00,-88.1,-7.3,8.6,64.7,36,46,25,25,0,0,0,0,0,43.7,17.7,8.1,0,1.28
CELL_000_0,2026-04-01T11:00:00,-93.0,-9.7,8.3,88.5,13,89,27,27,0,0,0,0,0,57.6,21.8,9.6,0,0
CELL_000_0,2026-04-01T11:15:00,-84.2,-13.6,11.3,52.5,51,81,29,29,0,0,0,0,0,60.7,19.6,12.5,0,0.06
CELL_000_0,2026-04-01T11:30:00,-85.4,-11.8,11.1,35.0,38,103,37,37,0,0,0,0,0,78.1,21.7,9.2,2,1.89
CELL_000_0,2026-04-01T11:45:00,-86.2,-8.7,6.8,62.9,40,49,32,32,0,0,0,0,0,98.2,18.3,9.5,1,1.27
CELL_000_0,2026-04-01T12:00:00,-93.1,-11.4,9.3,77.6,43,77,20,20,0,0,0,0,0,67.7,25.5,9.0,3,1.82
CELL_000_0,2026-04-01T12:15:00,-85.8,-12.8,16.5,80.1,44,71,18,18,0,0,0,0,0,99.9,27.8,10.3,5,0.01
CELL_000_0,2026-04-01T12:30:00,-95.1,-9.1,9.4,99.7,41,73,28,28,0,0,0,0,0,81.1,15.4,10.0,4,1.14
CELL_000_0,2026-04-01T12:45:00,-75.1,-12.7,13.4,45.2,46,54,29,29,0,0,0,0,0,109.2,16.2,10.2,0,1.45
CELL_000_0,2026-04-01T13:00:00,-72.8,-12.2,16.0,59.7,33,68,31,31,0,0,0,0,0,99.6,21.9,11.6,2,1.52
CELL_000_0,2026-04-01T13:15:00,-72.9,-10.2,9.1,67.9,56,79,34,34,0,0,0,0,0,117.6,21.5,10.6,5,0.24
CELL_000_0,2026-04-01T13:30:00,-84.3,-11.8,14.5,100,26,58,44,43,1,0,0,0,0,72.8,13.3,12.0,4,1.2
CELL_000_0,2026-04-01T13:45:00,-76.2,-6.7,6.7,52.3,46,54,14,14,0,0,0,0,0,78.0,23.8,11.1,3,0.11
CELL_000_0,2026-04-01T14:00:00,-78.7,-8.7,15.8,22.7,54,57,28,28,0,0,0,0,0,95.2,16.4,6.6,1,0
CELL_000_0,2026-04-01T14:15:00,-90.4,-10.2,7.5,94.4,43,101,15,15,0,0,0,0,0,111.6,16.2,10.1,2,0.31
CELL_000_0,2026-04-01T14:30:00,-82.2,-9.3,10.5,63.7,31,54,32,32,0,0,0,0,0,99.6,15.5,12.4,0,0
CELL_000_0,2026-04-01T14:45:00,-93.0,-11.6,16.3,69.3,27,97,23,23,0,0,0,0,0,93.0,12.7,6.4,0,1.02
CELL_000_0,2026-04-01T15:00:00,-75.2,-11.7,17.4,51.8,22,34,14,14,0,0,0,0,0,105.5,14.6,9.7,4,1.86
CELL_000_0,2026-04-01T15:15:00,-80.9,-10.0,9.2,51.2,44,88,30,30,0,0,0,0,0,71.2,22.3,10.0,1,0.27
CELL_000_0,2026-04-01T15:30:00,-88.3,-11.5,12.7,44.6,39,86,33,33,0,0,0,0,0,84.1,28.0,6.6,0,0.37
CELL_000_0,2026-04-01T15:45:00,-88.2,-10.0,3.8,25.4,48,24,35,35,0,0,0,0,0,70.8,18.2,11.9,2,0.6
CELL_000_0,2026-04-01T16:00:00,-87.0,-14.5,10.7,14.3,38,52,14,14,0,0,0,0,0,112.4,16.9,9.6,4,0
CELL_000_0,2026-04-01T16:15:00,-72.3,-9.8,13.6,35.0,26,70,25,25,0,0,0,0,0,53.8,16.1,9.7,2,0.78
CELL_000_0,2026-04-01T16:30:00,-82.1,-11.1,7.6,50.1,43,66,26,26,0,0,0,0,0,79.2,19.4,10.1,2,0.57
CELL_000_0,2026-04-01T16:45:00,-76.8,-13.2,16.5,66.3,38,62,26,26,0,0,0,0,0,68.8,24.4,13.9,1,1.28
CELL_000_0,2026-04-01T17:00:00,-83.3,-7.8,11.5,65.9,33,55,37,37,0,0,0,0,0,71.2,31.4,8.9,4,1.58
CELL_000_0,2026-04-01T17:15:00,-95.1,-10.9,15.6,82.5,39,68,22,22,0,0,0,0,0,77.5,15.7,9.0,2,2.61
CELL_000_0,2026-04-01T17:30:00,-91.0,-9.7,9.0,16.4,33,32,15,15,0,0,0,0,0,124.9,23.5,12.0,4,1.08
CELL_000_0,2026-04-01T17:45:00,-75.7,-6.2,7.9,72.6,35,54,19,19,0,0,0,0,0,65.0,14.4,9.4,0,0.09
CELL_000_0,2026-04-01T18:00:00,-77.0,-8.9,10.2,23.6,27,57,17,17,0,0,0,0,0,57.4,18.9,5.9,0,0
CELL_000_0,2026-04-01T18:15:00,-89.8,-9.2,9.6,31.1,14,56,16,16,0,0,0,0,0,93.4,19.2,9.5,3,0.31
CELL_000_0,2026-04-01T18:30:00,-84.3,-11.9,8.9,17.1,30,45,22,22,0,0,0,0,0,76.6,26.4,8.6,7,0
CELL_000_0,2026-04-01T18:45:00,-82.7,-5.7,7.3,46.9,26,36,13,13,0,0,0,0,0,63.5,21.3,12.4,3,0.84
CELL_000_0,2026-04-01T19:00:00,-81.5,-6.4,10.3,12.2,20,45,15,15,0,0,0,0,0,53.9,27.0,12.2,0,0.21
CELL_000_0,2026-04-01T19:15:00,-93.3,-6.9,9.1,72.8,25,27,14,14,0,0,0,0,0,94.8,15.3,9.5,0,0.09
CELL_000_0,2026-04-01T19:30:00,-78.2,-7.6,12.7,48.5,26,44,14,14,0,0,0,0,0,78.5,21.6,5.3,4,0
CELL_000_0,2026-04-01T19:45:00,-85.7,-11.7,12.6,35.7,44,43,11,11,0,0,0,0,0,95.4,20.4,10.8,0,1.32
CELL_000_0,2026-04-01T20:00:00,-83.7,-6.4,15.2,60.3,25,23,6,6,0,0,0,0,0,103.6,9.4,11.9,5,1.44
CELL_000_0,2026-04-01T20:15:00,-100.6,-10.7,11.0,20.7,21,28,14,14,0,0,0,0,0,72.9,33.3,9.9,2,0
CELL_000_0,2026-04-01T20:30:00,-80.4,-11.8,15.9,33.2,13,36,18,18,0,0,0,0,0,100.1,16.7,10.2,0,1.14
CELL_000_0,2026-04-01T20:45:00,-95.2,-10.3,16.2,25.9,13,46,3,3,0,0,0,0,0,93.4,15.2,7.2,3,1.15
CELL_000_0,2026-04-01T21:00:00,-98.0,-8.1,10.7,26.1,15,31,15,15,0,0,0,0,0,71.6,25.7,13.0,1,1.21
CELL_000_0,2026-04-01T21:15:00,-91.4,-10.1,9.2,8.5,16,19,13,13,0,0,0,0,0,71.6,12.2,13.0,0,0.4
CELL_000_0,2026-04-01T21:30:00,-83.0,-17.1,14.1,46.5,23,21,14,14,0,0,0,0,0,42.3,23.7,8.7,5,0.38
CELL_000_0,2026-04-01T21:45:00,-101.8,-8.3,13.4,45.3,17,31,11,11,0,0,0,0,0,74.5,20.0,9.6,0,0
CELL_000_0,2026-04-01T22:00:00,-59.8,-7.9,13.2,0,33,48,8,8,0,0,0,0,0,77.1,17.9,10.7,1,0
CELL_000_0,2026-04-01T22:15:00,-99.6,-12.8,10.1,19.6,24,24,8,8,0,0,0,0,0,83.3,20.8,11.0,0,0
CELL_000_0,2026-04-01T22:30:00,-89.6,-12.2,7.7,27.8,18,15,13,13,0,0,0,0,0,73.4,24.3,10.3,9,0.15
CELL_000_0,2026-04-01T22:45:00,-72.5,-10.1,9.7,27.8,19,52,9,9,0,0,0,0,0,89.6,17.0,9.2,3,0.55
CELL_000_0,2026-04-01T23:00:00,-89.2,-11.1,9.9,13.9,18,27,10,10,0,0,0,0,0,92.3,23.4,9.6,1,0.03
CELL_000_0,2026-04-01T23:15:00,-80.2,-13.4,7.9,36.5,7,13,10,10,0,0,0,0,0,95.2,10.7,12.9,0,0.07
CELL_000_0,2026-04-01T23:30:00,-94.7,-15.9,14.2,27.9,12,4,7,7,0,0,0,0,0,66.5,23.2,9.7,0,1.12
CELL_000_0,2026-04-01T23:45:00,-91.5,-6.0,9.0,31.7,11,23,10,10,0,0,0,0,0,73.1,25.0,8.5,0,0.94
CELL_000_0,2026-04-02T00:00:00,-83.6,-9.0,10.8,16.0,21,23,12,12,0,0,0,0,0,68.4,18.6,9.4,0,0
CELL_000_0,2026-04-02T00:15:00,-86.7,-8.2,12.7,12.2,23,27,13,13,0,0,0,0,0,71.0,17.1,13.0,4,0.34
CELL_000_0,2026-04-02T00:30:00,-69.5,-10.0,11.4,10.8,15,28,12,12,0,0,0,0,0,54.4,14.8,10.6,1,0.45
CELL_000_0,2026-04-02T00:45:00,-89.4,-9.5,14.5,31.2,16,26,11,11,0,0,0,0,0,84.1,22.0,10.5,3,0.48
CELL_000_0,2026-04-02T01:00:00,-73.5,-17.2,8.0,22.5,10,37,9,9,0,0,0,0,0,87.6,20.5,6.2,5,0.86
CELL_000_0,2026-04-02T01:15:00,-74.0,-9.5,14.7,34.7,17,34,13,13,0,0,0,0,0,76.8,21.9,7.0,0,1.19
CELL_000_0,2026-04-02T01:30:00,-74.6,-12.6,8.9,21.0,9,30,9,9,0,0,0,0,0,41.2,24.1,11.5,3,0
CELL_000_0,2026-04-02T01:45:00,-74.3,-13.2,17.9,25.9,21,22,10,10,0,0,0,0,0,65.8,20.3,9.0,0,1.2
CELL_000_0,2026-04-02T02:00:00,-93.5,-6.6,4.2,11.3,15,28,4,4,0,0,0,0,0,82.4,24.4,8.6,4,0
CELL_000_0,2026-04-02T02:15:00,-81.7,-10.5,11.7,14.6,12,36,12,12,0,0,0,0,0,62.1,17.4,11.6,0,0.4
CELL_000_0,2026-04-02T02:30:00,-88.2,-12.1,19.4,20.5,11,38,8,8,0,0,0,0,0,101.2,16.9,9.8,1,0.66
CELL_000_0,2026-04-02T02:45:00,-81.6,-8.6,10.7,16.3,19,29,10,10,0,0,0,0,0,67.7,26.0,9.7,4,0.48
CELL_000_0,2026-04-02T03:00:00,-83.2,-10.3,13.1,34.2,6,17,12,12,0,0,0,0,0,116.3,28.3,10.5,0,0.08
CELL_000_0,2026-04-02T03:15:00,-78.7,-11.1,9.2,25.2,17,34,10,10,0,0,0,0,0,73.4,18.4,14.7,3,0
CELL_000_0,2026-04-02T03:30:00,-78.9,-9.3,12.3,25.1,14,22,11,11,0,0,0,0,0,85.7,14.7,7.8,0,0.75
CELL_000_0,2026-04-02T03:45:00,-80.4,-4.0,16.3,23.7,8,36,9,9,0,0,0,0,0,99.9,14.7,7.3,0,0.86
CELL_000_0,2026-04-02T04:00:00,-71.6,-7.3,20.2,12.9,23,21,13,13,0,0,0,0,0,100.6,22.3,8.7,0,1.35
CELL_000_0,2026-04-02T04:15:00,-85.4,-11.1,11.5,18.9,20,20,7,7,0,0,0,0,0,72.0,23.1,10.6,0,0
CELL_000_0,2026-04-02T04:30:00,-86.3,-7.9,17.3,21.4,7,26,13,13,0,0,0,0,0,71.6,16.0,10.6,0,1.1
CELL_000_0,2026-04-02T04:45:00,-94.9,-10.7,10.9,23.6,17,14,8,8,0,0,0,0,0,63.7,16.0,10.5,0,0
CELL_000_0,2026-04-02T05:00:00,-69.2,-12.9,3.9,37.2,11,44,11,11,0,0,0,0,0,49.0,25.6,6.8,7,1.16
CELL_000_0,2026-04-02T05:15:00,-85.1,-8.1,14.1,32.9,16,16,10,10,0,0,0,0,0,65.0,20.7,11.2,4,1.28
CELL_000_0,2026-04-02T05:30:00,-91.3,-8.9,10.5,36.9,15,34,11,11,0,0,0,0,0,112.7,25.9,12.7,6,0
CELL_000_0,2026-04-02T05:45:00,-102.4,-14.9,15.4,17.1,17,24,8,8,0,0,0,0,0,81.1,18.6,14.5,1,0.4
CELL_000_0,2026-04-02T06:00:00,-82.8,-8.8,11.6,42.0,17,65,25,25,0,0,0,0,0,54.2,17.1,9.0,0,0
CELL_000_0,2026-04-02T06:15:00,-95.6,-14.9,6.4,42.1,29,18,16,16,0,0,0,0,0,92.4,24.1,9.8,4,1.57
CELL_000_0,2026-04-02T06:30:00,-88.9,-12.7,8.2,18.8,23,43,16,16,0,0,0,0,0,111.6,27.7,11.6,1,1.61
CELL_000_0,2026-04-02T06:45:00,-78.9,-5.8,8.5,34.6,21,61,19,19,0,0,0,0,0,111.2,34.1,11.2,5,0.28
CELL_000_0,2026-04-02T07:00:00,-98.7,-13.3,15.9,48.8,27,27,27,27,0,0,0,0,0,62.0,25.3,10.7,0,0.64
CELL_000_0,2026-04-02T07:15:00,-90.8,-11.8,14.0,27.1,31,49,34,34,0,0,0,0,0,114.7,22.2,9.8,0,0.35
CELL_000_0,2026-04-02T07:30:00,-94.1,-10.7,19.1,49.8,48,31,26,26,0,0,0,0,0,87.3,12.5,9.6,4,0.47
CELL_000_0,2026-04-02T07:45:00,-84.9,-14.5,11.0,29.2,48,56,23,23,0,0,0,0,0,85.3,22.7,9.1,0,0.26
CELL_000_0,2026-04-02T08:00:00,-85.9,-9.6,6.2,61.5,29,71,27,27,0,0,0,0,0,88.2,4.3,11.9,2,0
CELL_000_0,2026-04-02T08:15:00,-96.9,-10.2,13.4,0,64,60,19,19,0,0,0,0,0,116.6,21.5,11.9,1,0.2
CELL_000_0,2026-04-02T08:30:00,-87.1,-12.2,13.1,65.6,38,57,18,18,0,0,0,0,0,45.7,21.4,10.0,0,0.79
CELL_000_0,2026-04-02T08:45:00,-78.0,-9.6,7.5,23.1,48,65,22,22,0,0,0,0,0,73.0,20.5,9.0,0,0
CELL_000_0,2026-04-02T09:00:00,-79.1,-11.7,9.0,75.8,30,86,24,24,0,0,0,0,0,51.6,27.2,9.4,1,1.26
CELL_000_0,2026-04-02T09:15:00,-77.4,-11.8,13.0,66.9,41,82,35,35,0,0,0,0,0,79.7,7.1,10.0,4,0
CELL_000_0,2026-04-02T09:30:00,-84.2,-11.7,13.5,42.2,27,105,33,33,0,0,0,0,0,65.1,27.3,11.4,1,0.51
CELL_000_0,2026-04-02T09:45:00,-91.1,-5.8,12.5,100,26,90,34,34,0,0,0,0,0,95.8,25.1,11.8,1,0.31
CELL_000_0,2026-04-02T10:00:00,-78.1,-11.2,13.2,50.0,26,47,30,30,0,0,0,0,0,126.6,23.7,10.6,2,0.02
CELL_000_0,2026-04-02T10:15:00,-81.5,-6.4,17.3,45.7,32,95,25,25,0,0,0,0,0,114.4,18.2,7.4,1,1.7
CELL_000_0,2026-04-02T10:30:00,-93.8,-10.4,16.3,65.7,51,61,30,30,0,0,0,0,0,54.9,22.0,8.5,0,1.0
CELL_000_0,2026-04-02T10:45:00,-63.1,-4.3,3.1,32.5,42,61,36,36,0,0,0,0,0,70.3,26.1,6.3,0,0.51
CELL_000_0,2026-04-02T11:00:00,-86.2,-10.0,17.5,91.9,34,79,31,31,0,0,0,0,0,84.0,18.1,9.9,2,1.36
CELL_000_0,2026-04-02T11:15:00,-89.0,-9.8,13.9,69.8,55,61,22,22,0,0,0,0,0,87.0,25.0,10.7,2,1.57
CELL_000_0,2026-04-02T11:30:00,-78.0,-11.5,14.5,62.8,47,57,32,32,0,0,0,0,0,73.2,20.2,8.6,1,0.95
CELL_000_0,2026-04-02T11:45:00,-104.0,-12.0,11.1,36.1,53,84,34,34,0,0,0,0,0,69.4,10.9,11.8,2,1.35
CELL_000_0,2026-04-02T12:00:00,-66.9,-7.5,9.5,100,57,72,32,32,0,0,0,0,0,56.4,19.3,9.1,0,0.51
CELL_000_0,2026-04-02T12:15:00,-97.3,-11.4,14.3,72.9,44,68,30,30,0,0,0,0,0,69.6,25.5,9.7,5,1.45
CELL_000_0,2026-04-02T12:30:00,-70.1,-5.8,12.0,33.0,60,56,36,36,0,0,0,0,0,76.8,17.0,9.4,0,0
CELL_000_0,2026-04-02T12:45:00,-69.1,-10.6,13.0,42.6,56,95,21,21,0,0,0,0,0,84.9,20.4,8.9,0,1.36
CELL_000_0,2026-04-02T13:00:00,-95.5,-11.5,5.6,68.5,31,95,22,22,0,0,0,0,0,65.8,14.4,10.7,3,0
CELL_000_0,2026-04-02T13:15:00,-88.0,-13.0,16.4,38.1,6,84,16,16,0,0,0,0,0,71.3,25.5,14.5,3,0.72
CELL_000_0,2026-04-02T13:30:00,-82.1,-9.4,11.7,27.8,55,97,32,32,0,0,0,0,0,70.6,20.4,10.4,3,0
CELL_000_0,2026-04-02T13:45:00,-85.9,-9.2,7.5,48.3,28,50,23,23,0,0,0,0,0,73.4,20.9,8.6,0,0.98
CELL_000_0,2026-04-02T14:00:00,-88.7,-11.3,10.4,46.7,40,86,30,30,0,0,0,0,0,108.0,31.8,14.3,0,0.11
CELL_000_0,2026-04-02T14:15:00,-81.0,-8.3,11.7,0,55,60,25,25,0,0,0,0,0,77.9,30.9,8.5,6,2.26
CELL_000_0,2026-04-02T14:30:00,-87.7,-3.7,5.6,66.9,0,52,20,20,0,0,0,0,0,48.9,24.3,11.5,6,0.8
CELL_000_0,2026-04-02T14:45:00,-83.8,-11.7,14.8,49.8,37,34,29,29,0,0,0,0,0,74.2,24.4,7.6,9,0
CELL_000_0,2026-04-02T15:00:00,-79.3,-5.8,14.0,26.6,53,49,20,20,0,0,0,0,0,88.7,14.0,10.9,3,2.13
CELL_000_0,2026-04-02T15:15:00,-93.3,-10.9,3.5,57.2,26,81,26,26,0,0,0,0,0,56.8,15.5,9.7,5,0.06
CELL_000_0,2026-04-02T15:30:00,-84.4,-8.5,16.0,6.2,28,79,26,26,0,0,0,0,0,115.9,17.9,12.5,0,0.55
CELL_000_0,2026-04-02T15:45:00,-71.0,-12.7,7.6,89.4,54,64,28,28,0,0,0,0,0,92.2,20.5,7.7,5,0.3
CELL_000_0,2026-04-02T16:00:00,-78.0,-13.2,2.0,66.3,26,62,20,20,0,0,0,0,0,76.3,12.5,10.7,1,0.71
CELL_000_0,2026-04-02T16:15:00,-76.3,-11.1,17.5,70.8,41,40,19,19,0,0,0,0,0,55.5,16.1,13.5,2,0
CELL_000_0,2026-04-02T16:30:00,-92.2,-9.0,13.7,47.7,58,26,23,23,0,0,0,0,0,103.7,24.4,6.9,0,0.06
CELL_000_0,2026-04-02T16:45:00,-89.6,-9.0,8.1,67.0,34,64,36,36,0,0,0,0,0,82.7,6.2,12.1,0,0.19
CELL_000_0,2026-04-02T17:00:00,-79.0,-6.8,16.5,43.5,24,68,24,24,0,0,0,0,0,134.6,25.7,10.3,0,0.72
CELL_000_0,2026-04-02T17:15:00,-82.6,-9.3,11.4,49.8,35,63,30,30,0,0,0,0,0,85.9,19.4,9.6,5,1.55
CELL_000_0,2026-04-02T17:30:00,-74.6,-9.2,6.6,42.3,33,68,21,21,0,0,0,0,0,49.2,24.0,13.0,6,0.53
CELL_000_0,2026-04-02T17:45:00,-93.2,-10.6,9.6,45.8,29,80,33,33,0,0,0,0,0,31.4,20.3,8.3,0,0.71
CELL_000_0,2026-04-02T18:00:00,-84.8,-7.0,14.3,28.4,37,48,15,15,0,0,0,0,0,49.6,25.3,9.8,5,0
CELL_000_0,2026-04-02T18:15:00,-102.9,-12.1,6.7,25.7,37,46,23,23,0,0,0,0,0,71.0,19.4,5.8,3,1.16
CELL_000_0,2026-04-02T18:30:00,-79.9,-9.7,16.2,11.0,30,52,21,21,0,0,0,0,0,53.3,15.4,12.3,10,0
CELL_000_0,2026-04-02T18:45:00,-85.3,-12.2,12.2,49.6,29,47,17,17,0,0,0,0,0,42.4,16.5,8.9,0,1.56
CELL_000_0,2026-04-02T19:00:00,-96.7,-12.4,12.7,18.5,26,20,17,17,0,0,0,0,0,70.4,30.3,9.8,4,1.1
CELL_000_0,2026-04-02T19:15:00,-91.9,-12.8,6.1,47.0,22,33,20,20,0,0,0,0,0,87.3,13.7,10.2,0,0.28
CELL_000_0,2026-04-02T19:30:00,-86.8,-12.5,9.9,25.9,12,42,15,15,0,0,0,0,0,87.0,22.4,7.5,2,0
CELL_000_0,2026-04-02T19:45:00,-79.2,-7.9,13.0,40.6,33,60,14,14,0,0,0,0,0,95.5,18.7,9.9,0,0
CELL_000_0,2026-04-02T20:00:00,-85.8,-7.4,12.5,21.8,19,48,11,11,0,0,0,0,0,93.3,22.8,7.3,3,1.08
CELL_000_0,2026-04-02T20:15:00,-86.0,-4.8,15.6,36.4,28,33,17,17,0,0,0,0,0,105.0,18.7,7.4,0,0.15
CELL_000_0,2026-04-02T20:30:00,-89.0,-5.0,15.5,21.1,22,32,10,10,0,0,0,0,0,65.2,17.0,7.8,5,0
CELL_000_0,2026-04-02T20:45:00,-85.5,-6.8,3.6,31.3,33,45,12,12,0,0,0,0,0,43.5,23.1,10.5,0,0.64
CELL_000_0,2026-04-02T21:00:00,-98.6,-5.8,5.2,12.4,10,31,12,12,0,0,0,0,0,96.4,20.2,11.1,7,0.75
CELL_000_0,2026-04-02T21:15:00,-76.4,-8.3,10.5,28.6,20,34,11,11,0,0,0,0,0,64.4,18.5,6.6,8,1.08
CELL_000_0,2026-04-02T21:30:00,-78.8,-6.4,8.4,38.9,15,42,11,11,0,0,0,0,0,47.5,25.4,12.0,0,0
CELL_000_0,2026-04-02T21:45:00,-86.5,-9.6,8.6,39.5,10,37,9,9,0,0,0,0,0,49.0,20.9,11.6,0,1.37
