source_cell,target_cell,cio_db,distance_km,handover_count_monthly,handover_success_rate,ping_pong_rate
CELL_009_0,CELL_001_1,3.6,0.951,3527,0.8887,0.0522
CELL_009_0,CELL_001_2,3.9,0.951,4518,0.9123,0.0172
CELL_009_1,CELL_009_0,1.9,0.0,2560,0.9291,0.0602
CELL_009_1,CELL_009_2,-4.0,0.0,3686,0.9187,0.013
CELL_009_1,CELL_016_0,4.4,0.868,2938,0.9476,0.0404
CELL_009_1,CELL_016_1,1.7,0.868,519,0.8883,0.0546
CELL_009_1,CELL_016_2,-1.6,0.868,1360,0.9848,0.02
CELL_009_1,CELL_001_0,1.3,0.951,3639,0.8838,0.0147
CELL_009_1,CELL_001_1,3.3,0.951,3050,0.9198,0.0765
CELL_009_1,CELL_001_2,-5.6,0.951,1306,0.9547,0.0764
CELL_009_1,CELL_000_0,-1.5,1.145,679,0.9431,0.0471
CELL_009_1,CELL_000_1,-1.2,1.145,2333,0.9075,0.0179
CELL_009_2,CELL_009_0,-0.0,0.0,3220,0.9805,0.0182
CELL_009_2,CELL_009_1,3.3,0.0,3705,0.9036,0.0528
CELL_009_2,CELL_016_0,2.3,0.868,4073,0.902,0.0195
CELL_009_2,CELL_016_1,-5.1,0.868,1464,0.9789,0.0412
CELL_009_2,CELL_016_2,-4.9,0.868,2668,0.9535,0.0597
CELL_009_2,CELL_001_0,0.6,0.951,2428,0.978,0.0696
CELL_009_2,CELL_001_1,2.5,0.951,1476,0.9673,0.0456
CELL_009_2,CELL_001_2,-4.5,0.951,1696,0.9671,0.0266
CELL_009_2,CELL_000_0,-0.1,1.145,3006,0.9409,0.0358
CELL_010_0,CELL_010_1,-4.4,0.0,756,0.8872,0.0379
CELL_010_0,CELL_010_2,2.6,0.0,3971,0.9378,0.0638
CELL_010_0,CELL_020_0,3.9,0.135,654,0.8938,0.0322
CELL_010_0,CELL_020_1,-5.1,0.135,3866,0.9548,0.0341
CELL_010_0,CELL_020_2,4.5,0.135,4566,0.9504,0.0227
CELL_010_0,CELL_011_0,5.6,0.4,3594,0.9353,0.0708
CELL_010_0,CELL_011_1,4.0,0.4,4294,0.8968,0.0215
CELL_010_0,CELL_011_2,-2.1,0.4,1897,0.9181,0.0759
CELL_010_0,CELL_005_0,4.7,1.125,696,0.9076,0.0545
CELL_010_0,CELL_005_1,0.6,1.125,1075,0.9488,0.053
CELL_010_0,CELL_005_2,-4.9,1.125,1431,0.9451,0.0506
CELL_010_0,CELL_007_0,-3.9,1.32,2815,0.9727,0.0495
CELL_010_1,CELL_010_0,-5.0,0.0,4774,0.9091,0.0248
CELL_010_1,CELL_010_2,0.9,0.0,298,0.9348,0.0539
CELL_010_1,CELL_020_0,-2.5,0.135,2524,0.9331,0.0663
CELL_010_1,CELL_020_1,2.2,0.135,2486,0.9299,0.0582
CELL_010_1,CELL_020_2,-4.1,0.135,3454,0.9333,0.0243
CELL_010_1,CELL_011_0,1.3,0.4,2610,0.9748,0.0324
CELL_010_1,CELL_011_1,5.9,0.4,2879,0.9873,0.0192
CELL_010_1,CELL_011_2,-1.6,0.4,4651,0.8917,0.0269
CELL_010_2,CELL_010_0,-2.8,0.0,2080,0.8955,0.0135
CELL_010_2,CELL_010_1,5.3,0.0,3475,0.9073,0.0706
CELL_010_2,CELL_020_0,-4.1,0.135,2732,0.9827,0.0605
CELL_010_2,CELL_020_1,-3.7,0.135,1355,0.9348,0.046
CELL_010_2,CELL_020_2,-0.0,0.135,2577,0.9347,0.0163
CELL_010_2,CELL_011_0,-1.3,0.4,3795,0.9863,0.0251
CELL_010_2,CELL_011_1,-1.8,0.4,464,0.9109,0.0518
CELL_010_2,CELL_011_2,4.1,0.4,3905,0.9114,0.0106
CELL_011_0,CELL_011_1,-0.8,0.0,2216,0.96,0.0635
CELL_011_0,CELL_011_2,-1.6,0.0,3331,0.8856,0.0493
CELL_011_0,CELL_010_0,-1.6,0.4,2414,0.8881,0.0453
CELL_011_0,CELL_010_1,3.2,0.4,2341,0.9708,0.0536
CELL_011_0,CELL_010_2,1.3,0.4,1104,0.9873,0.0376
CELL_011_0,CELL_020_0,3.5,0.418,2827,0.9414,0.0356
CELL_011_0,CELL_020_1,-4.3,0.418,4985,0.936,0.045
CELL_011_0,CELL_020_2,-5.5,0.418,1172,0.9585,0.0663
CELL_011_1,CELL_011_0,-0.5,0.0,4273,0.8954,0.0752
CELL_011_1,CELL_011_2,-2.2,0.0,3269,0.989,0.0618
CELL_011_1,CELL_010_0,-2.4,0.4,2805,0.9358,0.0457
CELL_011_1,CELL_010_1,-0.1,0.4,4661,0.913,0.0671
CELL_011_1,CELL_010_2,-1.6,0.4,947,0.9878,0.0509
CELL_011_1,CELL_020_0,3.6,0.418,268,0.9457,0.0286
CELL_011_1,CELL_020_1,1.9,0.418,4788,0.9435,0.0605
CELL_011_1,CELL_020_2,1.0,0.418,1446,0.9377,0.0605
CELL_011_1,CELL_005_0,3.3,0.725,3164,0.8963,0.0577
CELL_011_1,CELL_005_1,-5.6,0.725,950,0.901,0.0409
CELL_011_1,CELL_005_2,-1.0,0.725,3432,0.956,0.0387
CELL_011_1,CELL_007_0,3.3,0.928,3913,0.976,0.0615
CELL_011_2,CELL_011_0,2.5,0.0,4299,0.9028,0.0328
CELL_011_2,CELL_011_1,1.9,0.0,4354,0.9215,0.077
CELL_011_2,CELL_010_0,-0.5,0.4,4417,0.9177,0.0348
CELL_011_2,CELL_010_1,3.3,0.4,2215,0.9471,0.0235
CELL_011_2,CELL_010_2,-3.0,0.4,4621,0.9128,0.0759
CELL_011_2,CELL_020_0,5.8,0.418,2417,0.9575,0.0583
CELL_011_2,CELL_020_1,-0.1,0.418,3980,0.9184,0.0754
CELL_011_2,CELL_020_2,3.5,0.418,2290,0.9117,0.0501
CELL_012_0,CELL_012_1,-1.4,0.0,3282,0.97,0.0768
CELL_012_0,CELL_012_2,3.7,0.0,2429,0.8846,0.0769
CELL_012_0,CELL_003_0,-5.1,0.166,3673,0.9522,0.0623
CELL_012_0,CELL_003_1,-3.4,0.166,4462,0.9098,0.0493
CELL_012_0,CELL_003_2,-2.7,0.166,944,0.9477,0.0511
CELL_012_0,CELL_008_0,-3.1,0.597,4400,0.9048,0.0263
CELL_012_0,CELL_008_1,-4.8,0.597,2755,0.9589,0.017
CELL_012_0,CELL_008_2,3.2,0.597,92,0.9861,0.0785
CELL_012_0,CELL_004_0,-4.1,0.899,3946,0.9325,0.024
CELL_012_0,CELL_004_1,5.6,0.899,2681,0.9114,0.0141
CELL_012_0,CELL_004_2,3.2,0.899,4753,0.9055,0.0617
CELL_012_0,CELL_023_0,4.2,1.386,355,0.9805,0.0223
CELL_012_1,CELL_012_0,5.2,0.0,347,0.9897,0.0378
CELL_012_1,CELL_012_2,-0.1,0.0,2421,0.9764,0.0106
CELL_012_1,CELL_003_0,0.8,0.166,929,0.9821,0.0335
CELL_012_1,CELL_003_1,-0.5,0.166,4500,0.9377,0.0722
CELL_012_1,CELL_003_2,-4.4,0.166,4180,0.9315,0.0235
CELL_012_1,CELL_008_0,-4.6,0.597,1381,0.9604,0.0554
CELL_012_1,CELL_008_1,2.6,0.597,165,0.961,0.0654
CELL_012_1,CELL_008_2,0.8,0.597,1632,0.8993,0.0699
CELL_012_1,CELL_004_0,4.8,0.899,3553,0.9367,0.0161
CELL_012_2,CELL_012_0,-3.8,0.0,1201,0.9325,0.0755
CELL_012_2,CELL_012_1,-5.9,0.0,3192,0.9059,0.0628
