cell_id,site_id,band,monthly_ho_attempts,monthly_ho_success_rate,monthly_ho_failure_rate,monthly_ping_pong_rate,avg_rsrp_dbm,avg_sinr_db,avg_prb_utilization_pct,avg_dl_throughput_mbps,total_rlf_count,problem_flag
CELL_016_1,SITE_016,3,45072,0.9246,0.0754,0.0518,-97.8,3.3,70.5,42.3,259,True
CELL_016_2,SITE_016,3,78373,0.9717,0.0283,0.0126,-83.6,10.2,27.0,84.1,53,False
CELL_017_0,SITE_017,41,50933,0.9888,0.0112,0.0174,-85.0,8.3,32.0,72.6,47,False
CELL_017_1,SITE_017,41,74778,0.9839,0.0161,0.0187,-78.5,12.0,30.2,72.4,15,False
CELL_017_2,SITE_017,41,58434,0.9798,0.0202,0.0164,-84.4,13.8,30.7,78.6,23,False
CELL_018_0,SITE_018,1,75026,0.9862,0.0138,0.0138,-87.8,7.8,42.5,86.9,21,False
CELL_018_1,SITE_018,1,67970,0.9704,0.0296,0.01,-86.1,13.5,43.3,74.2,59,False
CELL_018_2,SITE_018,1,44551,0.9806,0.0194,0.007,-85.3,9.7,49.9,81.2,57,False
CELL_019_0,SITE_019,3,79243,0.9767,0.0233,0.0099,-86.0,12.6,28.6,83.5,56,False
CELL_019_1,SITE_019,3,48380,0.9647,0.0353,0.0087,-80.2,11.6,29.5,85.3,30,False
CELL_019_2,SITE_019,3,40955,0.9619,0.0381,0.0161,-88.5,10.2,32.2,80.8,46,False
CELL_020_0,SITE_020,41,79166,0.9704,0.0296,0.0143,-82.9,10.2,33.8,90.0,53,False
CELL_020_1,SITE_020,41,78445,0.9826,0.0174,0.0073,-86.5,10.4,52.7,93.4,33,False
CELL_020_2,SITE_020,41,53058,0.9721,0.0279,0.0191,-81.2,13.7,33.6,78.4,25,False
CELL_021_0,SITE_021,1,49154,0.9859,0.0141,0.0055,-87.1,9.9,44.7,81.6,15,False
CELL_021_1,SITE_021,1,40872,0.981,0.019,0.01,-80.8,8.7,37.7,85.4,57,False
CELL_021_2,SITE_021,1,46012,0.9814,0.0186,0.0083,-84.4,11.9,42.3,79.3,53,False
CELL_022_0,SITE_022,3,74417,0.9898,0.0102,0.018,-78.4,13.3,39.7,78.9,35,False
CELL_022_1,SITE_022,3,69939,0.9634,0.0366,0.0076,-87.2,12.3,45.0,81.9,42,False
CELL_022_2,SITE_022,3,66844,0.8908,0.1092,0.0412,-99.5,3.2,66.9,36.9,273,True
CELL_023_0,SITE_023,41,48568,0.9928,0.0072,0.0126,-85.8,12.0,39.8,81.0,45,False
CELL_023_1,SITE_023,41,71494,0.9668,0.0332,0.0096,-79.3,9.8,51.2,88.1,49,False
CELL_023_2,SITE_023,41,68033,0.9944,0.0056,0.0098,-87.6,9.0,45.2,71.1,41,False
CELL_024_0,SITE_024,1,63509,0.9785,0.0215,0.0058,-79.6,8.1,27.8,76.5,33,False
CELL_024_1,SITE_024,1,61763,0.9801,0.0199,0.0107,-86.0,11.1,32.7,70.6,37,False
CELL_024_2,SITE_024,1,47446,0.9929,0.0071,0.011,-87.7,10.2,34.5,70.4,38,False
